race,sigla_uf,outcome_label,n,share
Brown,DF,Avoidable,11233,0.6499826408980443
Brown,DF,Ill-defined,501,0.028989700266172896
Brown,DF,Non-avoidable,5548,0.3210276588357829
Brown,ES,Avoidable,12473,0.7393598103141672
Brown,ES,Ill-defined,171,0.01013633669235329
Brown,ES,Non-avoidable,4226,0.25050385299347955
Brown,GO,Avoidable,36349,0.6842679919429228
Brown,GO,Ill-defined,1318,0.02481127990813426
Brown,GO,Non-avoidable,15454,0.290920728148943
Brown,MA,Avoidable,43996,0.7145571778921895
Brown,MA,Ill-defined,2786,0.045248574816066006
Brown,MA,Non-avoidable,14789,0.2401942472917445
Brown,MG,Avoidable,75552,0.621765751530713
Brown,MG,Ill-defined,8861,0.07292283889656989
Brown,MG,Non-avoidable,37099,0.3053114095727171
Brown,MS,Avoidable,15948,0.6715230114952209
Brown,MS,Ill-defined,564,0.023748368352351678
Brown,MS,Non-avoidable,7237,0.30472862015242747
Brown,MT,Avoidable,20004,0.6526803484616137
Brown,MT,Ill-defined,1546,0.05044210251557963
Brown,MT,Non-avoidable,9099,0.2968775490228066
Brown,PA,Avoidable,49320,0.678451062659055
Brown,PA,Ill-defined,4595,0.06320929912648737
Brown,PA,Non-avoidable,18780,0.25833963821445766
Brown,PB,Avoidable,12321,0.6645989535573655
Brown,PB,Ill-defined,898,0.04843842709962781
Brown,PB,Non-avoidable,5320,0.28696261934300665
Brown,PE,Avoidable,70539,0.697439193197548
Brown,PE,Ill-defined,3671,0.036296223057148504
Brown,PE,Non-avoidable,26930,0.26626458374530354
Brown,PI,Avoidable,20452,0.715830737461062
Brown,PI,Ill-defined,1253,0.04385565783486752
Brown,PI,Non-avoidable,6866,0.24031360470407057
Brown,PR,Avoidable,27606,0.6752605058460937
Brown,PR,Ill-defined,1155,0.028252042463675946
Brown,PR,Non-avoidable,12121,0.29648745169023044
Brown,RJ,Avoidable,71291,0.6289956855859751
Brown,RJ,Ill-defined,10503,0.09266726074412614
Brown,RJ,Non-avoidable,31547,0.2783370536698988
Brown,RN,Avoidable,13392,0.7107902977548962
Brown,RN,Ill-defined,533,0.028289368929462343
Brown,RN,Non-avoidable,4916,0.2609203333156414
Brown,RO,Avoidable,7265,0.6318490172203861
Brown,RO,Ill-defined,613,0.053313619759958256
Brown,RO,Non-avoidable,3620,0.3148373630196556
Brown,RR,Avoidable,3609,0.6674680969114112
Brown,RR,Ill-defined,129,0.023857961901239136
Brown,RR,Non-avoidable,1669,0.30867394118734975
Brown,RS,Avoidable,7581,0.6900600764609504
Brown,RS,Ill-defined,453,0.04123429819770617
Brown,RS,Non-avoidable,2952,0.2687056253413435
Brown,SC,Avoidable,5101,0.7075877375502844
Brown,SC,Ill-defined,256,0.03551116659730892
Brown,SC,Non-avoidable,1852,0.2569010958524067
Brown,SE,Avoidable,16829,0.6919250061672559
Brown,SE,Ill-defined,1354,0.05566976399967108
Brown,SE,Non-avoidable,6139,0.25240522983307295
Brown,SP,Avoidable,110332,0.6176911879968648
Brown,SP,Ill-defined,9339,0.05228417870339268
Brown,SP,Non-avoidable,58949,0.33002463329974246
Brown,TO,Avoidable,9003,0.7123190125801092
Brown,TO,Ill-defined,279,0.022074531212912415
Brown,TO,Non-avoidable,3357,0.2656064562069784
Indigenous,AC,Avoidable,49,0.5444444444444444
Indigenous,AC,Ill-defined,13,0.14444444444444443
Indigenous,AC,Non-avoidable,28,0.3111111111111111
Indigenous,AL,Avoidable,56,0.7
Indigenous,AL,Ill-defined,5,0.0625
Indigenous,AL,Non-avoidable,19,0.2375
Indigenous,AM,Avoidable,1182,0.6240760295670539
Indigenous,AM,Ill-defined,241,0.12724392819429778
Indigenous,AM,Non-avoidable,471,0.24868004223864837
Indigenous,AP,Avoidable,21,0.44680851063829785
Indigenous,AP,Ill-defined,6,0.1276595744680851
Indigenous,AP,Non-avoidable,20,0.425531914893617
Indigenous,BA,Avoidable,163,0.5544217687074829
Indigenous,BA,Ill-defined,34,0.11564625850340136
Indigenous,BA,Non-avoidable,97,0.3299319727891156
Indigenous,CE,Avoidable,111,0.6166666666666667
Indigenous,CE,Ill-defined,7,0.03888888888888889
Indigenous,CE,Non-avoidable,62,0.34444444444444444
Indigenous,DF,Avoidable,26,0.6666666666666666
Indigenous,DF,Ill-defined,3,0.07692307692307693
Indigenous,DF,Non-avoidable,10,0.2564102564102564
Indigenous,ES,Avoidable,31,0.7209302325581395
Indigenous,ES,Non-avoidable,12,0.27906976744186046
Indigenous,GO,Avoidable,37,0.5692307692307692
Indigenous,GO,Ill-defined,1,0.015384615384615385
Indigenous,GO,Non-avoidable,27,0.4153846153846154
Indigenous,MA,Avoidable,256,0.6547314578005116
Indigenous,MA,Ill-defined,42,0.10741687979539642
Indigenous,MA,Non-avoidable,93,0.23785166240409208
Indigenous,MG,Avoidable,144,0.5737051792828686
Indigenous,MG,Ill-defined,21,0.08366533864541832
Indigenous,MG,Non-avoidable,86,0.3426294820717131
