ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,2,2,MS,baixa,3
2012,adulto,2,2,MS,media,12
2012,adulto,2,2,MT,alta,9
2012,adulto,2,2,MT,baixa,4
2012,adulto,2,2,MT,media,24
2012,adulto,2,2,PA,alta,22
2012,adulto,2,2,PA,baixa,7
2012,adulto,2,2,PA,media,54
2012,adulto,2,2,PB,alta,3
2012,adulto,2,2,PB,media,6
2012,adulto,2,2,PE,alta,13
2012,adulto,2,2,PE,baixa,12
2012,adulto,2,2,PE,media,47
2012,adulto,2,2,PI,alta,3
2012,adulto,2,2,PI,baixa,6
2012,adulto,2,2,PI,media,17
2012,adulto,2,2,PR,alta,20
2012,adulto,2,2,PR,baixa,10
2012,adulto,2,2,PR,media,48
2012,adulto,2,2,RJ,alta,124
2012,adulto,2,2,RJ,baixa,41
2012,adulto,2,2,RJ,media,387
2012,adulto,2,2,RN,alta,3
2012,adulto,2,2,RN,baixa,4
2012,adulto,2,2,RN,media,14
2012,adulto,2,2,RO,alta,4
2012,adulto,2,2,RO,media,2
2012,adulto,2,2,RR,alta,1
2012,adulto,2,2,RR,media,5
2012,adulto,2,2,RS,alta,24
2012,adulto,2,2,RS,baixa,17
2012,adulto,2,2,RS,media,92
2012,adulto,2,2,SC,alta,8
2012,adulto,2,2,SC,baixa,1
2012,adulto,2,2,SC,media,26
2012,adulto,2,2,SE,alta,6
2012,adulto,2,2,SE,baixa,7
2012,adulto,2,2,SE,media,19
2012,adulto,2,2,SP,alta,97
2012,adulto,2,2,SP,baixa,31
2012,adulto,2,2,SP,media,238
2012,adulto,2,2,TO,alta,5
2012,adulto,2,2,TO,baixa,7
2012,adulto,2,2,TO,media,13
2012,adulto,3,1,AC,alta,1
2012,adulto,3,1,AL,baixa,2
2012,adulto,3,1,AM,media,1
2012,adulto,3,1,BA,baixa,1
2012,adulto,3,1,CE,media,1
2012,adulto,3,1,DF,alta,1
2012,adulto,3,1,DF,media,1
2012,adulto,3,1,GO,media,2
2012,adulto,3,1,MA,alta,1
2012,adulto,3,1,MA,media,3
2012,adulto,3,1,MG,alta,1
2012,adulto,3,1,MG,baixa,1
2012,adulto,3,1,MG,media,7
2012,adulto,3,1,MS,baixa,1
2012,adulto,3,1,MS,media,4
2012,adulto,3,1,MT,alta,1
2012,adulto,3,1,MT,baixa,1
2012,adulto,3,1,MT,media,1
2012,adulto,3,1,PA,alta,2
2012,adulto,3,1,PA,media,2
2012,adulto,3,1,PB,media,4
2012,adulto,3,1,PE,media,3
2012,adulto,3,1,PI,media,5
2012,adulto,3,1,PR,alta,5
2012,adulto,3,1,PR,media,5
2012,adulto,3,1,RJ,alta,1
2012,adulto,3,1,RJ,media,2
2012,adulto,3,1,RN,baixa,2
2012,adulto,3,1,RN,media,1
2012,adulto,3,1,RO,baixa,1
2012,adulto,3,1,RR,media,1
2012,adulto,3,1,SP,alta,19
2012,adulto,3,1,SP,baixa,6
2012,adulto,3,1,SP,media,28
2012,adulto,3,2,AC,media,1
2012,adulto,3,2,AM,baixa,1
