posterior_sample,level,risk
160,alta,0.6329855918884277
161,baixa,0.6856352686882019
161,media,0.6661660671234131
161,alta,0.6360255479812622
162,baixa,0.6860840916633606
162,media,0.6655147075653076
162,alta,0.6365916132926941
163,baixa,0.6852829456329346
163,media,0.6657426953315735
163,alta,0.6347745060920715
164,baixa,0.6842042803764343
164,media,0.6638604402542114
164,alta,0.6342442035675049
165,baixa,0.6854067444801331
165,media,0.6661616563796997
165,alta,0.6341801881790161
166,baixa,0.6858171820640564
166,media,0.6666049957275391
166,alta,0.6348013877868652
167,baixa,0.685303270816803
167,media,0.6657962203025818
167,alta,0.6351902484893799
168,baixa,0.6854822039604187
168,media,0.6651897430419922
168,alta,0.6342553496360779
169,baixa,0.6848846077919006
169,media,0.6647993326187134
169,alta,0.6346448063850403
170,baixa,0.6870492100715637
170,media,0.6674898266792297
170,alta,0.6364007592201233
171,baixa,0.6861340403556824
171,media,0.6661588549613953
171,alta,0.6362448334693909
172,baixa,0.686069905757904
172,media,0.6667493581771851
172,alta,0.6349778771400452
173,baixa,0.6863911151885986
173,media,0.6661008596420288
173,alta,0.637337327003479
174,baixa,0.6850965023040771
174,media,0.6653689742088318
174,alta,0.6339452862739563
175,baixa,0.6870885491371155
175,media,0.6662728190422058
175,alta,0.6373652219772339
176,baixa,0.6851868629455566
176,media,0.6661102771759033
176,alta,0.6347480416297913
177,baixa,0.6866012811660767
177,media,0.6666178107261658
177,alta,0.6365631222724915
178,baixa,0.6858497858047485
178,media,0.6664517521858215
178,alta,0.6346059441566467
179,baixa,0.685806930065155
179,media,0.6665425896644592
179,alta,0.6351999044418335
180,baixa,0.6857231259346008
180,media,0.6665914058685303
180,alta,0.6358609199523926
181,baixa,0.6866410970687866
181,media,0.667087972164154
181,alta,0.6353331208229065
182,baixa,0.6869556307792664
182,media,0.6672794222831726
182,alta,0.637360692024231
183,baixa,0.6878908276557922
183,media,0.6683169603347778
183,alta,0.6375876665115356
184,baixa,0.6872248649597168
184,media,0.6675040125846863
184,alta,0.6373228430747986
185,baixa,0.6867465972900391
185,media,0.6664586067199707
185,alta,0.6361088156700134
186,baixa,0.6852807402610779
186,media,0.6663273572921753
186,alta,0.6345030069351196
187,baixa,0.6866360902786255
187,media,0.6663005948066711
187,alta,0.636588990688324
188,baixa,0.6843273639678955
188,media,0.6641157269477844
188,alta,0.6338988542556763
189,baixa,0.6856462955474854
189,media,0.6662049889564514
189,alta,0.6350425481796265
190,baixa,0.6866453289985657
190,media,0.6666525602340698
190,alta,0.6366919875144958
191,baixa,0.6861007213592529
191,media,0.6668575406074524
191,alta,0.6345800161361694
192,baixa,0.6853017210960388
192,media,0.6661878824234009
192,alta,0.633609414100647
193,baixa,0.686111569404602
193,media,0.6668114066123962
193,alta,0.636620044708252
194,baixa,0.6863532662391663
194,media,0.6662456393241882
194,alta,0.6360067129135132
195,baixa,0.6863624453544617
195,media,0.6667778491973877
195,alta,0.6349592208862305
196,baixa,0.6862401962280273
196,media,0.6657719016075134
196,alta,0.6364620327949524
197,baixa,0.6854543685913086
197,media,0.6654697060585022
197,alta,0.6348034739494324
198,baixa,0.6865721344947815
198,media,0.6670728921890259
198,alta,0.6370171904563904
199,baixa,0.6868913769721985
199,media,0.6672543883323669
199,alta,0.6365609765052795
200,baixa,0.6858928203582764
200,media,0.6657472252845764
200,alta,0.6352370977401733
201,baixa,0.6865779161453247
201,media,0.666411817073822
201,alta,0.6354284882545471
202,baixa,0.6853328943252563
202,media,0.6653826236724854
202,alta,0.6349558234214783
203,baixa,0.6857965588569641
203,media,0.6656726002693176
203,alta,0.6354216933250427
204,baixa,0.6855137944221497
204,media,0.6651174426078796
204,alta,0.6349002122879028
205,baixa,0.6858882904052734
205,media,0.6663424968719482
205,alta,0.6351214647293091
206,baixa,0.6850108504295349
206,media,0.6643163561820984
206,alta,0.6345890164375305
207,baixa,0.6865031719207764
207,media,0.665776789188385
207,alta,0.6365333199501038
208,baixa,0.6848210096359253
208,media,0.6647045016288757
208,alta,0.6339320540428162
209,baixa,0.6856856942176819
209,media,0.6650505065917969
209,alta,0.6345575451850891
210,baixa,0.6866966485977173
210,media,0.6667535901069641
210,alta,0.636455774307251
211,baixa,0.6876534223556519
211,media,0.6690037250518799
211,alta,0.6371103525161743
212,baixa,0.6838120818138123
212,media,0.6635330319404602
212,alta,0.6331261992454529
213,baixa,0.6870408058166504
213,media,0.6669812202453613
213,alta,0.6368562579154968
214,baixa,0.6851507425308228
214,media,0.6656148433685303
214,alta,0.6344230771064758
215,baixa,0.6865782141685486
215,media,0.6666481494903564
215,alta,0.6364082098007202
216,baixa,0.6857990026473999
216,media,0.6656978130340576
216,alta,0.6347585916519165
217,baixa,0.6855421662330627
217,media,0.6656254529953003
217,alta,0.6343026161193848
218,baixa,0.6851588487625122
218,media,0.6655910015106201
218,alta,0.6348541975021362
219,baixa,0.6852306127548218
219,media,0.6660074591636658
219,alta,0.6329939961433411
220,baixa,0.6855973601341248
220,media,0.6655997633934021
220,alta,0.6348109841346741
221,baixa,0.6857618689537048
221,media,0.665963351726532
221,alta,0.6345906257629395
222,baixa,0.6854366064071655
222,media,0.6656031012535095
222,alta,0.6351341009140015
223,baixa,0.6871731877326965
223,media,0.6677162647247314
223,alta,0.6370317935943604
224,baixa,0.6856355667114258
224,media,0.66685551404953
224,alta,0.635082483291626
225,baixa,0.6853271722793579
225,media,0.6649244427680969
225,alta,0.6353906393051147
226,baixa,0.6870411038398743
226,media,0.6666883826255798
226,alta,0.6358457803726196
227,baixa,0.685581386089325
227,media,0.6659366488456726
227,alta,0.6348828077316284
228,baixa,0.6854175329208374
228,media,0.665820300579071
228,alta,0.6358380317687988
229,baixa,0.6864697337150574
229,media,0.6665869951248169
229,alta,0.6346410512924194
230,baixa,0.6855461597442627
230,media,0.6657803654670715
230,alta,0.6349514126777649
231,baixa,0.6859546303749084
231,media,0.6669503450393677
231,alta,0.6344410181045532
232,baixa,0.6857255101203918
232,media,0.6664267778396606
232,alta,0.6358697414398193
233,baixa,0.686507523059845
233,media,0.6675140261650085
233,alta,0.6358222365379333
234,baixa,0.6864423751831055
234,media,0.6661598682403564
234,alta,0.6354908347129822
235,baixa,0.6858141422271729
235,media,0.6655862331390381
235,alta,0.6358023285865784
236,baixa,0.6850781440734863
236,media,0.664760172367096
236,alta,0.6348465085029602
237,baixa,0.685572624206543
237,media,0.6651390790939331
237,alta,0.6337514519691467
238,baixa,0.6860829591751099
238,media,0.6661062836647034
238,alta,0.63667893409729
239,baixa,0.6865434050559998
239,media,0.6667026877403259
239,alta,0.635587215423584
240,baixa,0.6862971186637878
240,media,0.6667566895484924
240,alta,0.6357611417770386
241,baixa,0.6862001419067383
241,media,0.6667903065681458
241,alta,0.6351499557495117
242,baixa,0.6867924928665161
242,media,0.6672435402870178
242,alta,0.6360352635383606
243,baixa,0.6857385039329529
243,media,0.6663345098495483
243,alta,0.6355962157249451
244,baixa,0.6864854097366333
244,media,0.6675650477409363
244,alta,0.6378946900367737
245,baixa,0.6857572197914124
245,media,0.6660840511322021
245,alta,0.6354073286056519
246,baixa,0.6871994137763977
246,media,0.6675096154212952
246,alta,0.6383131742477417
247,baixa,0.6865417957305908
247,media,0.6670253872871399
247,alta,0.6357786655426025
248,baixa,0.6850353479385376
248,media,0.665655255317688
248,alta,0.6340416073799133
249,baixa,0.6854686737060547
249,media,0.6656203269958496
249,alta,0.635036051273346
250,baixa,0.6848239898681641
250,media,0.664401650428772
250,alta,0.6333135962486267
251,baixa,0.6852229833602905
251,media,0.665044367313385
251,alta,0.6344475150108337
252,baixa,0.6868079304695129
252,media,0.6674947738647461
252,alta,0.6365354061126709
253,baixa,0.6861993670463562
253,media,0.6660866737365723
253,alta,0.6362747550010681
254,baixa,0.68606036901474
254,media,0.6655656099319458
254,alta,0.6369915008544922
255,baixa,0.6849821209907532
255,media,0.6653521656990051
255,alta,0.6356024146080017
256,baixa,0.6859405040740967
256,media,0.6657376289367676
256,alta,0.6358709931373596
257,baixa,0.6850520968437195
257,media,0.6655598282814026
257,alta,0.6346616744995117
258,baixa,0.6849824786186218
258,media,0.6655701398849487
258,alta,0.6337590217590332
259,baixa,0.6857830286026001
259,media,0.6662889122962952
259,alta,0.6352905631065369
260,baixa,0.6849626898765564
260,media,0.665711522102356
260,alta,0.6365147829055786
261,baixa,0.6858687996864319
261,media,0.6673773527145386
261,alta,0.6362674832344055
262,baixa,0.6843731999397278
262,media,0.6649793982505798
262,alta,0.6339769959449768
263,baixa,0.6875333786010742
263,media,0.667527973651886
263,alta,0.636218786239624
264,baixa,0.6856446266174316
264,media,0.6663341522216797
264,alta,0.6349605321884155
265,baixa,0.6857184767723083
265,media,0.6650296449661255
265,alta,0.6346399784088135
266,baixa,0.6858292818069458
266,media,0.6652382016181946
266,alta,0.6344729661941528
267,baixa,0.6851492524147034
267,media,0.6661907434463501
267,alta,0.6341821551322937
268,baixa,0.6845600605010986
268,media,0.6648653745651245
268,alta,0.6348905563354492
269,baixa,0.6842936873435974
269,media,0.6630443930625916
269,alta,0.633418083190918
270,baixa,0.6856476068496704
270,media,0.6658702492713928
270,alta,0.6360877156257629
271,baixa,0.6841808557510376
271,media,0.664718747138977
271,alta,0.6330916881561279
272,baixa,0.684845507144928
272,media,0.6655856370925903
272,alta,0.6335782408714294
273,baixa,0.6851934790611267
273,media,0.6655701398849487
273,alta,0.6346312761306763
274,baixa,0.6866710782051086
274,media,0.6667630672454834
274,alta,0.6352730989456177
275,baixa,0.6875495910644531
275,media,0.6670787334442139
275,alta,0.6366376876831055
276,baixa,0.6846340298652649
276,media,0.6638180017471313
276,alta,0.6344630122184753
277,baixa,0.6863552927970886
277,media,0.6668069362640381
277,alta,0.6366754174232483
278,baixa,0.6865052580833435
278,media,0.6663002967834473
278,alta,0.6365953087806702
279,baixa,0.6875101327896118
279,media,0.6683225631713867
279,alta,0.6374633312225342
280,baixa,0.6857478022575378
280,media,0.6659741997718811
280,alta,0.633851170539856
281,baixa,0.6854420900344849
281,media,0.6650878190994263
281,alta,0.6349846720695496
282,baixa,0.6852445006370544
282,media,0.6647207736968994
282,alta,0.6341254711151123
283,baixa,0.68779456615448
283,media,0.6691056489944458
283,alta,0.6370503902435303
284,baixa,0.6858804821968079
284,media,0.6670787334442139
284,alta,0.6361196637153625
285,baixa,0.6860854625701904
285,media,0.6661768555641174
285,alta,0.6353673934936523
286,baixa,0.6858078837394714
286,media,0.6657470464706421
286,alta,0.6360760927200317
287,baixa,0.6851321458816528
287,media,0.6648575067520142
287,alta,0.6338528990745544
288,baixa,0.6869157552719116
288,media,0.6674093008041382
288,alta,0.6374213099479675
289,baixa,0.6848507523536682
289,media,0.6641703248023987
289,alta,0.6341227889060974
290,baixa,0.686958372592926
290,media,0.666882336139679
290,alta,0.6363595724105835
291,baixa,0.6870031356811523
291,media,0.6677951216697693
291,alta,0.6372727155685425
292,baixa,0.6872159838676453
292,media,0.6687018871307373
292,alta,0.6359670758247375
293,baixa,0.6852205395698547
293,media,0.6660816073417664
293,alta,0.6360192894935608
