ano,escolaridade_grupo,idade_grupo,raca_cor,sexo,sigla_uf,ocupacao,n
2012,alta,adulto,1,1,ES,914405,1
2012,alta,adulto,1,1,ES,991405,1
2012,alta,adulto,1,1,ES,999991,2
2012,alta,adulto,1,1,ES,999993,4
2012,alta,adulto,1,1,GO,111120,1
2012,alta,adulto,1,1,GO,111255,1
2012,alta,adulto,1,1,GO,111415,2
2012,alta,adulto,1,1,GO,141410,6
2012,alta,adulto,1,1,GO,142305,1
2012,alta,adulto,1,1,GO,21110,1
2012,alta,adulto,1,1,GO,21205,2
2012,alta,adulto,1,1,GO,21210,2
2012,alta,adulto,1,1,GO,232120,1
2012,alta,adulto,1,1,GO,252105,2
2012,alta,adulto,1,1,GO,254410,1
2012,alta,adulto,1,1,GO,261715,1
2012,alta,adulto,1,1,GO,261805,1
2012,alta,adulto,1,1,GO,262105,2
2012,alta,adulto,1,1,GO,262315,1
2012,alta,adulto,1,1,GO,313120,1
2012,alta,adulto,1,1,GO,313220,1
2012,alta,adulto,1,1,GO,313315,1
2012,alta,adulto,1,1,GO,313410,1
2012,alta,adulto,1,1,GO,317210,1
2012,alta,adulto,1,1,GO,322205,1
2012,alta,adulto,1,1,GO,333105,2
2012,alta,adulto,1,1,GO,351605,1
2012,alta,adulto,1,1,GO,354505,1
2012,alta,adulto,1,1,GO,354605,1
2012,alta,adulto,1,1,GO,354705,6
2012,alta,adulto,1,1,GO,371310,1
2012,alta,adulto,1,1,GO,411005,1
2012,alta,adulto,1,1,GO,411010,2
2012,alta,adulto,1,1,GO,413110,1
2012,alta,adulto,1,1,GO,511110,1
2012,alta,adulto,1,1,GO,512105,4
2012,alta,adulto,1,1,GO,513405,1
2012,alta,adulto,1,1,GO,514210,1
2012,alta,adulto,1,1,GO,516110,2
2012,alta,adulto,1,1,GO,517215,1
2012,alta,adulto,1,1,GO,517330,3
2012,alta,adulto,1,1,GO,517405,1
2012,alta,adulto,1,1,GO,519110,2
2012,alta,adulto,1,1,GO,521105,1
2012,alta,adulto,1,1,GO,521110,7
2012,alta,adulto,1,1,GO,521130,1
2012,alta,adulto,1,1,GO,521135,1
2012,alta,adulto,1,1,GO,524305,1
2012,alta,adulto,1,1,GO,612005,1
2012,alta,adulto,1,1,GO,621005,3
2012,alta,adulto,1,1,GO,622020,2
2012,alta,adulto,1,1,GO,632360,1
2012,alta,adulto,1,1,GO,641015,1
2012,alta,adulto,1,1,GO,711215,1
2012,alta,adulto,1,1,GO,711225,1
2012,alta,adulto,1,1,GO,711405,1
2012,alta,adulto,1,1,GO,712225,1
2012,alta,adulto,1,1,GO,715210,6
2012,alta,adulto,1,1,GO,715610,1
2012,alta,adulto,1,1,GO,715615,2
2012,alta,adulto,1,1,GO,716305,2
2012,alta,adulto,1,1,GO,716610,4
2012,alta,adulto,1,1,GO,717020,1
2012,alta,adulto,1,1,GO,724315,1
2012,alta,adulto,1,1,GO,724440,2
2012,alta,adulto,1,1,GO,725010,1
2012,alta,adulto,1,1,GO,760125,1
2012,alta,adulto,1,1,GO,763210,1
2012,alta,adulto,1,1,GO,782305,2
2012,alta,adulto,1,1,GO,782310,2
2012,alta,adulto,1,1,GO,782405,1
2012,alta,adulto,1,1,GO,782505,3
2012,alta,adulto,1,1,GO,782510,5
2012,alta,adulto,1,1,GO,818105,1
2012,alta,adulto,1,1,GO,848305,3
2012,alta,adulto,1,1,GO,848510,1
2012,alta,adulto,1,1,GO,862120,1
2012,alta,adulto,1,1,GO,862150,1
2012,alta,adulto,1,1,GO,911305,1
2012,alta,adulto,1,1,GO,914405,4
2012,alta,adulto,1,1,GO,914425,1
2012,alta,adulto,1,1,GO,950205,1
2012,alta,adulto,1,1,GO,998999,1
2012,alta,adulto,1,1,GO,999991,6
2012,alta,adulto,1,1,GO,999993,5
2012,alta,adulto,1,1,GO,999994,2
2012,alta,adulto,1,1,MA,121010,1
2012,alta,adulto,1,1,MA,141405,3
2012,alta,adulto,1,1,MA,141410,1
2012,alta,adulto,1,1,MA,142105,2
2012,alta,adulto,1,1,MA,142305,1
2012,alta,adulto,1,1,MA,21205,1
2012,alta,adulto,1,1,MA,233225,1
2012,alta,adulto,1,1,MA,262405,1
2012,alta,adulto,1,1,MA,262710,1
2012,alta,adulto,1,1,MA,263105,1
2012,alta,adulto,1,1,MA,313220,2
2012,alta,adulto,1,1,MA,314110,1
2012,alta,adulto,1,1,MA,314125,1
2012,alta,adulto,1,1,MA,318810,1
2012,alta,adulto,1,1,MA,322205,1
2012,alta,adulto,1,1,MA,322230,1
2012,alta,adulto,1,1,MA,324115,1
2012,alta,adulto,1,1,MA,354705,9
2012,alta,adulto,1,1,MA,410105,1
2012,alta,adulto,1,1,MA,411005,1
2012,alta,adulto,1,1,MA,411025,1
2012,alta,adulto,1,1,MA,421125,1
2012,alta,adulto,1,1,MA,421310,1
