posterior_sample,level,risk
224,baixa,0.689565122127533
224,media,0.666831910610199
224,alta,0.6351047158241272
225,baixa,0.6892039775848389
225,media,0.6650745272636414
225,alta,0.6352837681770325
226,baixa,0.6910955309867859
226,media,0.6670331358909607
226,alta,0.6360931396484375
227,baixa,0.6898928284645081
227,media,0.6664297580718994
227,alta,0.6353290677070618
228,baixa,0.6896877884864807
228,media,0.6662662625312805
228,alta,0.6361168026924133
229,baixa,0.6905897259712219
229,media,0.6669252514839172
229,alta,0.6350204348564148
230,baixa,0.6900901794433594
230,media,0.6665365695953369
230,alta,0.6356446743011475
231,baixa,0.6905392408370972
231,media,0.6676362156867981
231,alta,0.6352731585502625
232,baixa,0.6898760795593262
232,media,0.6667129397392273
232,alta,0.6360641121864319
233,baixa,0.6905443668365479
233,media,0.6676385998725891
233,alta,0.6359836459159851
234,baixa,0.6906810402870178
234,media,0.6666775345802307
234,alta,0.6358990669250488
235,baixa,0.6895855665206909
235,media,0.6656090021133423
235,alta,0.6356009244918823
236,baixa,0.6895625591278076
236,media,0.6655228137969971
236,alta,0.6354184150695801
237,baixa,0.6896693110466003
237,media,0.6655257344245911
237,alta,0.6341001987457275
238,baixa,0.6906805038452148
238,media,0.6669584512710571
238,alta,0.6373113393783569
239,baixa,0.6903756260871887
239,media,0.6667394042015076
239,alta,0.6355644464492798
240,baixa,0.6905786395072937
240,media,0.6672214865684509
240,alta,0.6361832618713379
241,baixa,0.6899277567863464
241,media,0.6666554808616638
241,alta,0.6350223422050476
242,baixa,0.690546452999115
242,media,0.6671563982963562
242,alta,0.6359016299247742
243,baixa,0.6897659301757812
243,media,0.6665078997612
243,alta,0.6356889605522156
244,baixa,0.690893292427063
244,media,0.6680658459663391
244,alta,0.6382236480712891
245,baixa,0.6901888251304626
245,media,0.666712760925293
245,alta,0.6359537243843079
246,baixa,0.6915087103843689
246,media,0.6680258512496948
246,alta,0.638580858707428
247,baixa,0.6910924315452576
247,media,0.66776043176651
247,alta,0.6365067958831787
248,baixa,0.6889415383338928
248,media,0.6656902432441711
248,alta,0.6340853571891785
249,baixa,0.6891677975654602
249,media,0.6655097603797913
249,alta,0.6347969770431519
250,baixa,0.6886322498321533
250,media,0.6644821763038635
250,alta,0.6333084106445312
251,baixa,0.6893749237060547
251,media,0.6654493808746338
251,alta,0.6347344517707825
252,baixa,0.6909531950950623
252,media,0.667783260345459
252,alta,0.6367758512496948
253,baixa,0.6904678344726562
253,media,0.6666089296340942
253,alta,0.636598527431488
254,baixa,0.69002366065979
254,media,0.6658251881599426
254,alta,0.6368895769119263
255,baixa,0.6888495087623596
255,media,0.6653788685798645
255,alta,0.6354179382324219
256,baixa,0.6901423335075378
256,media,0.6662048697471619
256,alta,0.6361412405967712
257,baixa,0.6885787844657898
257,media,0.6652184128761292
257,alta,0.6342319846153259
258,baixa,0.689352810382843
258,media,0.6660866141319275
258,alta,0.6343204975128174
259,baixa,0.6902867555618286
259,media,0.666967511177063
259,alta,0.6359330415725708
260,baixa,0.6888595223426819
260,media,0.6657148599624634
260,alta,0.636259138584137
261,baixa,0.6901346445083618
261,media,0.6676649451255798
261,alta,0.6365510821342468
262,baixa,0.6887966394424438
262,media,0.6655433177947998
262,alta,0.634499192237854
263,baixa,0.691757321357727
263,media,0.6680036783218384
263,alta,0.636671245098114
264,baixa,0.6899814009666443
264,media,0.6668091416358948
264,alta,0.6354386806488037
265,baixa,0.6902046799659729
265,media,0.6658570766448975
265,alta,0.6353221535682678
266,baixa,0.6899210214614868
266,media,0.6656492948532104
266,alta,0.6347729563713074
267,baixa,0.6891514658927917
267,media,0.6662641763687134
267,alta,0.6343242526054382
268,baixa,0.6884856224060059
268,media,0.6649558544158936
268,alta,0.6347935795783997
269,baixa,0.6882221102714539
269,media,0.6633591651916504
269,alta,0.633460283279419
270,baixa,0.6894675493240356
270,media,0.6658792495727539
270,alta,0.635887861251831
271,baixa,0.6882301568984985
271,media,0.6649035215377808
271,alta,0.6332870125770569
272,baixa,0.6886625289916992
272,media,0.6655070781707764
272,alta,0.633550226688385
273,baixa,0.6892842054367065
273,media,0.6658326983451843
273,alta,0.6348291635513306
274,baixa,0.691222608089447
274,media,0.6675567626953125
274,alta,0.6360750198364258
275,baixa,0.6919711232185364
275,media,0.6678319573402405
275,alta,0.6372671723365784
276,baixa,0.688417911529541
276,media,0.6639227271080017
276,alta,0.6342732906341553
277,baixa,0.6903783082962036
277,media,0.6669979095458984
277,alta,0.6367130875587463
278,baixa,0.6909596920013428
278,media,0.6670382022857666
278,alta,0.637130081653595
279,baixa,0.691977858543396
279,media,0.6689392328262329
279,alta,0.6380427479743958
280,baixa,0.6897351741790771
280,media,0.6661527156829834
280,alta,0.6340866088867188
281,baixa,0.6896623969078064
281,media,0.665590226650238
281,alta,0.6353112459182739
282,baixa,0.6893330812454224
282,media,0.6651079654693604
282,alta,0.6343798041343689
283,baixa,0.6923150420188904
283,media,0.6697056293487549
283,alta,0.6377657651901245
284,baixa,0.6900379061698914
284,media,0.6672981977462769
284,alta,0.636305570602417
285,baixa,0.6899139285087585
285,media,0.6662151217460632
285,alta,0.635308027267456
286,baixa,0.6897622346878052
286,media,0.6659329533576965
286,alta,0.6360352039337158
287,baixa,0.6895562410354614
287,media,0.6655587553977966
287,alta,0.6344898343086243
288,baixa,0.6906840801239014
288,media,0.6673392653465271
288,alta,0.6371757388114929
289,baixa,0.6886781454086304
289,media,0.6643069386482239
289,alta,0.6340513229370117
290,baixa,0.6917227506637573
290,media,0.6679242253303528
290,alta,0.6373087167739868
291,baixa,0.6913897395133972
291,media,0.6683253645896912
291,alta,0.6377207040786743
292,baixa,0.6916642189025879
292,media,0.6691999435424805
292,alta,0.6366587281227112
293,baixa,0.6894484758377075
293,media,0.6664177775382996
293,alta,0.6362107992172241
294,baixa,0.690057098865509
294,media,0.6664229035377502
294,alta,0.6357624530792236
295,baixa,0.6922972202301025
295,media,0.6686465740203857
295,alta,0.6377779245376587
296,baixa,0.6918667554855347
296,media,0.6691728830337524
296,alta,0.6377742886543274
297,baixa,0.6882701516151428
297,media,0.6643855571746826
297,alta,0.6336270570755005
298,baixa,0.6915040612220764
298,media,0.6683396100997925
298,alta,0.637473464012146
299,baixa,0.6902946829795837
299,media,0.6665340662002563
299,alta,0.635846734046936
300,baixa,0.6900804042816162
300,media,0.6669196486473083
300,alta,0.6363715529441833
301,baixa,0.6900927424430847
301,media,0.665682852268219
301,alta,0.6348245143890381
302,baixa,0.6917375326156616
302,media,0.6675079464912415
302,alta,0.6373265385627747
303,baixa,0.6904541850090027
303,media,0.6672587990760803
303,alta,0.6372694373130798
304,baixa,0.6904154419898987
304,media,0.666414201259613
304,alta,0.6348004937171936
305,baixa,0.6894640326499939
305,media,0.6658300161361694
305,alta,0.6338088512420654
306,baixa,0.6886993646621704
306,media,0.6654334664344788
306,alta,0.6344050765037537
307,baixa,0.6894662380218506
307,media,0.6654640436172485
307,alta,0.6351200938224792
308,baixa,0.6901776194572449
308,media,0.6663017272949219
308,alta,0.6359143853187561
309,baixa,0.6912083625793457
309,media,0.6681023836135864
309,alta,0.6374052166938782
310,baixa,0.6880907416343689
310,media,0.6638394594192505
310,alta,0.6327759027481079
311,baixa,0.6908696293830872
311,media,0.6672865748405457
311,alta,0.6363242268562317
312,baixa,0.6904657483100891
312,media,0.6675786375999451
312,alta,0.6348872184753418
313,baixa,0.6893324255943298
313,media,0.6657726168632507
313,alta,0.6353468894958496
314,baixa,0.6906015872955322
314,media,0.6685901284217834
314,alta,0.6363184452056885
315,baixa,0.6889513731002808
315,media,0.6657952070236206
315,alta,0.6337624192237854
316,baixa,0.6902137994766235
316,media,0.6664393544197083
316,alta,0.6362971067428589
317,baixa,0.6888560056686401
317,media,0.6650799512863159
317,alta,0.6337242722511292
318,baixa,0.6903788447380066
318,media,0.6667671799659729
318,alta,0.6361082196235657
319,baixa,0.6911624670028687
319,media,0.6675423383712769
319,alta,0.6369421482086182
320,baixa,0.6902331113815308
320,media,0.6665726900100708
320,alta,0.6358219385147095
321,baixa,0.690589964389801
321,media,0.6672408580780029
321,alta,0.63697350025177
322,baixa,0.6903707981109619
322,media,0.6672612428665161
322,alta,0.6360728144645691
323,baixa,0.6885091066360474
323,media,0.6649620532989502
323,alta,0.6339902281761169
324,baixa,0.6906648278236389
324,media,0.6676796674728394
324,alta,0.6362061500549316
325,baixa,0.6889600157737732
325,media,0.6650866866111755
325,alta,0.6345650553703308
326,baixa,0.6889430284500122
326,media,0.6641275882720947
326,alta,0.6349080204963684
327,baixa,0.6889817714691162
327,media,0.6651703119277954
327,alta,0.6347914934158325
328,baixa,0.6888741850852966
328,media,0.6658197641372681
328,alta,0.634772777557373
329,baixa,0.6895099878311157
329,media,0.6655824780464172
329,alta,0.6354472637176514
330,baixa,0.6913416981697083
330,media,0.6680787801742554
330,alta,0.6363979578018188
331,baixa,0.6912634968757629
331,media,0.6678910255432129
331,alta,0.6378074288368225
332,baixa,0.690702497959137
332,media,0.6670762300491333
332,alta,0.6359926462173462
333,baixa,0.6905197501182556
333,media,0.6670817732810974
333,alta,0.6365262269973755
334,baixa,0.6893335580825806
334,media,0.6656497716903687
334,alta,0.6351706981658936
335,baixa,0.6905890703201294
