bootstrap_iteration,bootstrap_sample_size,bootstrap_evaluation_sample_size,contrast,treated_level,reference_level,n_used,n_removed_no_common_support,risk_treated,risk_reference,risk_difference,risk_ratio,model_type,support_type,crossfit_folds
15,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656491363114555,0.675073390620642,-0.009424254309186475,0.9860396596279375,xgb_3class,global_three_level_common_support_min_cell_20,1
15,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6388080410720699,0.675073390620642,-0.03626534954857208,0.9462793970960242,xgb_3class,global_three_level_common_support_min_cell_20,1
15,100000,100000,alta_vs_media,alta,media,93339,6661,0.6388080410720699,0.6656491363114555,-0.026841095239385604,0.9596768120392682,xgb_3class,global_three_level_common_support_min_cell_20,1
16,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657679653475534,0.6774113962937167,-0.011643430946163269,0.9828118761953706,xgb_3class,global_three_level_common_support_min_cell_20,1
16,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6388965352790232,0.6774113962937167,-0.03851486101469348,0.9431440610160713,xgb_3class,global_three_level_common_support_min_cell_20,1
16,100000,100000,alta_vs_media,alta,media,93339,6661,0.6388965352790232,0.6657679653475534,-0.02687143006853021,0.9596384454236959,xgb_3class,global_three_level_common_support_min_cell_20,1
17,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656988432651759,0.6753142348786567,-0.009615391613480795,0.9857616038329052,xgb_3class,global_three_level_common_support_min_cell_20,1
17,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.638779746848383,0.6753142348786567,-0.036534488030273704,0.9459000178830255,xgb_3class,global_three_level_common_support_min_cell_20,1
17,100000,100000,alta_vs_media,alta,media,93339,6661,0.638779746848383,0.6656988432651759,-0.02691909641679291,0.9595626510559071,xgb_3class,global_three_level_common_support_min_cell_20,1
18,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6655983885009426,0.6757945903528332,-0.01019620185189063,0.9849122766038018,xgb_3class,global_three_level_common_support_min_cell_20,1
18,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390685710524461,0.6757945903528332,-0.0367260193003871,0.9456550558044384,xgb_3class,global_three_level_common_support_min_cell_20,1
18,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390685710524461,0.6655983885009426,-0.026529817448496473,0.96014140372508,xgb_3class,global_three_level_common_support_min_cell_20,1
19,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657967131292056,0.6766081730245688,-0.01081145989536314,0.9840210917833968,xgb_3class,global_three_level_common_support_min_cell_20,1
19,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6385046420766837,0.6766081730245688,-0.0381035309478851,0.9436844950046125,xgb_3class,global_three_level_common_support_min_cell_20,1
19,100000,100000,alta_vs_media,alta,media,93339,6661,0.6385046420766837,0.6657967131292056,-0.02729207105252196,0.9590084022430048,xgb_3class,global_three_level_common_support_min_cell_20,1
20,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656320481192927,0.6769944235252736,-0.011362375405980951,0.9832164416557313,xgb_3class,global_three_level_common_support_min_cell_20,1
20,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6392148244949754,0.6769944235252736,-0.03777959903029826,0.944195110450732,xgb_3class,global_three_level_common_support_min_cell_20,1
20,100000,100000,alta_vs_media,alta,media,93339,6661,0.6392148244949754,0.6656320481192927,-0.02641722362431731,0.9603125725407036,xgb_3class,global_three_level_common_support_min_cell_20,1
21,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657547480312944,0.6758202755390434,-0.010065527507749028,0.9851062066764412,xgb_3class,global_three_level_common_support_min_cell_20,1
21,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6387705958546033,0.6758202755390434,-0.03704967968444017,0.9451782063583564,xgb_3class,global_three_level_common_support_min_cell_20,1
21,100000,100000,alta_vs_media,alta,media,93339,6661,0.6387705958546033,0.6657547480312944,-0.026984152176691145,0.9594683293562891,xgb_3class,global_three_level_common_support_min_cell_20,1
22,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656524064971393,0.6756532319444304,-0.010000825447291084,0.9851982866736089,xgb_3class,global_three_level_common_support_min_cell_20,1
22,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390926607275216,0.6756532319444304,-0.03656057121690881,0.9458885571942091,xgb_3class,global_three_level_common_support_min_cell_20,1
22,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390926607275216,0.6656524064971393,-0.026559745769617726,0.9600996773836018,xgb_3class,global_three_level_common_support_min_cell_20,1
23,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656892462668027,0.6754505918139038,-0.009761345547101064,0.9855483944119625,xgb_3class,global_three_level_common_support_min_cell_20,1
23,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6386732098637249,0.6754505918139038,-0.03677738195017888,0.9455513365508879,xgb_3class,global_three_level_common_support_min_cell_20,1
23,100000,100000,alta_vs_media,alta,media,93339,6661,0.6386732098637249,0.6656892462668027,-0.027016036403077814,0.9594164446029672,xgb_3class,global_three_level_common_support_min_cell_20,1
24,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656353159985003,0.677440046550151,-0.011804730551650655,0.9825745014458976,xgb_3class,global_three_level_common_support_min_cell_20,1
24,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6384056658879365,0.677440046550151,-0.03903438066221454,0.9423795790328661,xgb_3class,global_three_level_common_support_min_cell_20,1
24,100000,100000,alta_vs_media,alta,media,93339,6661,0.6384056658879365,0.6656353159985003,-0.027229650110563886,0.9590922394649126,xgb_3class,global_three_level_common_support_min_cell_20,1
25,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656938064035939,0.6769425136926414,-0.011248707289047477,0.9833830686335726,xgb_3class,global_three_level_common_support_min_cell_20,1
25,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6388424147647106,0.6769425136926414,-0.03810009892793076,0.9437173790133239,xgb_3class,global_three_level_common_support_min_cell_20,1
25,100000,100000,alta_vs_media,alta,media,93339,6661,0.6388424147647106,0.6656938064035939,-0.026851391638883282,0.9596640506782724,xgb_3class,global_three_level_common_support_min_cell_20,1
26,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.665680356719627,0.6767065222446393,-0.011026165525012344,0.98370613380755,xgb_3class,global_three_level_common_support_min_cell_20,1
26,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390779830339836,0.6767065222446393,-0.03762853921065579,0.9443945965145397,xgb_3class,global_three_level_common_support_min_cell_20,1
26,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390779830339836,0.665680356719627,-0.026602373685643443,0.9600373160825476,xgb_3class,global_three_level_common_support_min_cell_20,1
27,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656648696720477,0.6755919414554957,-0.009927071783447983,0.9853061127963411,xgb_3class,global_three_level_common_support_min_cell_20,1
27,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6388122649835751,0.6755919414554957,-0.0367796764719206,0.9455593321721949,xgb_3class,global_three_level_common_support_min_cell_20,1
27,100000,100000,alta_vs_media,alta,media,93339,6661,0.6388122649835751,0.6656648696720477,-0.026852604688472614,0.9596604749448442,xgb_3class,global_three_level_common_support_min_cell_20,1
28,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656286427806809,0.6762009124174541,-0.010572269636773157,0.9843651946594145,xgb_3class,global_three_level_common_support_min_cell_20,1
28,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6393007135772063,0.6762009124174541,-0.036900198840247755,0.945430125628894,xgb_3class,global_three_level_common_support_min_cell_20,1
28,100000,100000,alta_vs_media,alta,media,93339,6661,0.6393007135772063,0.6656286427806809,-0.026327929203474598,0.9604465200092818,xgb_3class,global_three_level_common_support_min_cell_20,1
29,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656349401151979,0.6782312885279349,-0.012596348412737046,0.9814276506763987,xgb_3class,global_three_level_common_support_min_cell_20,1
29,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6392674719797671,0.6782312885279349,-0.03896381654816783,0.9425508418629038,xgb_3class,global_three_level_common_support_min_cell_20,1
29,100000,100000,alta_vs_media,alta,media,93339,6661,0.6392674719797671,0.6656349401151979,-0.026367468135430783,0.9603874938853608,xgb_3class,global_three_level_common_support_min_cell_20,1
30,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657251334751021,0.6773235601705792,-0.01159842669547706,0.9828760914612861,xgb_3class,global_three_level_common_support_min_cell_20,1
30,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6387840937715341,0.6773235601705792,-0.03853946639904504,0.9431003604992876,xgb_3class,global_three_level_common_support_min_cell_20,1
30,100000,100000,alta_vs_media,alta,media,93339,6661,0.6387840937715341,0.6657251334751021,-0.02694103970356798,0.9595312864891624,xgb_3class,global_three_level_common_support_min_cell_20,1
31,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6655883274251782,0.6773188284026419,-0.011730500977463754,0.9826809760993528,xgb_3class,global_three_level_common_support_min_cell_20,1
31,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6386476247456276,0.6773188284026419,-0.038671203657014264,0.9429054648484899,xgb_3class,global_three_level_common_support_min_cell_20,1
31,100000,100000,alta_vs_media,alta,media,93339,6661,0.6386476247456276,0.6655883274251782,-0.02694070267955051,0.9595234748425197,xgb_3class,global_three_level_common_support_min_cell_20,1
32,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6655564034597702,0.6761714358183224,-0.010615032358552212,0.9843012706597024,xgb_3class,global_three_level_common_support_min_cell_20,1
32,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6389524864413779,0.6761714358183224,-0.03721894937694448,0.9449563418308243,xgb_3class,global_three_level_common_support_min_cell_20,1
32,100000,100000,alta_vs_media,alta,media,93339,6661,0.6389524864413779,0.6655564034597702,-0.026603917018392265,0.9600275545692344,xgb_3class,global_three_level_common_support_min_cell_20,1
33,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657340943233429,0.6757503499893583,-0.010016255666015494,0.9851775797583039,xgb_3class,global_three_level_common_support_min_cell_20,1
33,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6390865425543605,0.6757503499893583,-0.036663807434997864,0.94574356130844,xgb_3class,global_three_level_common_support_min_cell_20,1
33,100000,100000,alta_vs_media,alta,media,93339,6661,0.6390865425543605,0.6657340943233429,-0.02664755176898237,0.959972679788817,xgb_3class,global_three_level_common_support_min_cell_20,1
34,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6657623528979083,0.6782224649444003,-0.012460112046492,0.9816282817356787,xgb_3class,global_three_level_common_support_min_cell_20,1
34,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6387830501958672,0.6782224649444003,-0.039439414748533075,0.9418488522762716,xgb_3class,global_three_level_common_support_min_cell_20,1
34,100000,100000,alta_vs_media,alta,media,93339,6661,0.6387830501958672,0.6657623528979083,-0.026979302702041075,0.9594760764338709,xgb_3class,global_three_level_common_support_min_cell_20,1
35,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656737956572503,0.6761405973488146,-0.010466801691564331,0.9845197851857953,xgb_3class,global_three_level_common_support_min_cell_20,1
35,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6386760560649256,0.6761405973488146,-0.037464541283888986,0.9445906052220654,xgb_3class,global_three_level_common_support_min_cell_20,1
35,100000,100000,alta_vs_media,alta,media,93339,6661,0.6386760560649256,0.6656737956572503,-0.026997739592324654,0.9594429887905254,xgb_3class,global_three_level_common_support_min_cell_20,1
36,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656973027901291,0.6768167526649844,-0.011119449874855358,0.9835709594494045,xgb_3class,global_three_level_common_support_min_cell_20,1
36,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6387718755805988,0.6768167526649844,-0.03804487708438564,0.9437885115364197,xgb_3class,global_three_level_common_support_min_cell_20,1
36,100000,100000,alta_vs_media,alta,media,93339,6661,0.6387718755805988,0.6656973027901291,-0.026925427209530284,0.9595530474636474,xgb_3class,global_three_level_common_support_min_cell_20,1
37,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656491926363514,0.6768222624314743,-0.011173069795122892,0.9834918701477345,xgb_3class,global_three_level_common_support_min_cell_20,1
37,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6391842325990268,0.6768222624314743,-0.03763802983244746,0.9443900830075633,xgb_3class,global_three_level_common_support_min_cell_20,1
37,100000,100000,alta_vs_media,alta,media,93339,6661,0.6391842325990268,0.6656491926363514,-0.02646496003732457,0.960241880663134,xgb_3class,global_three_level_common_support_min_cell_20,1
38,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6658142043948494,0.6760958571403242,-0.010281652745474767,0.984792610933954,xgb_3class,global_three_level_common_support_min_cell_20,1
38,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.638523931392839,0.6760958571403242,-0.037571925747485135,0.9444281083064128,xgb_3class,global_three_level_common_support_min_cell_20,1
38,100000,100000,alta_vs_media,alta,media,93339,6661,0.638523931392839,0.6658142043948494,-0.027290273002010368,0.9590121796412947,xgb_3class,global_three_level_common_support_min_cell_20,1
39,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656959040173733,0.6767686003122932,-0.011072696294919915,0.9836388740703832,xgb_3class,global_three_level_common_support_min_cell_20,1
39,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6386873708529571,0.6767686003122932,-0.03808122945933612,0.9437307974368734,xgb_3class,global_three_level_common_support_min_cell_20,1
39,100000,100000,alta_vs_media,alta,media,93339,6661,0.6386873708529571,0.6656959040173733,-0.027008533164416204,0.9594281217573613,xgb_3class,global_three_level_common_support_min_cell_20,1
40,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.665593561699835,0.6767852174819576,-0.011191655782122667,0.9834635043836178,xgb_3class,global_three_level_common_support_min_cell_20,1
40,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.6389638153877903,0.6767852174819576,-0.03782140209416729,0.9441160930865403,xgb_3class,global_three_level_common_support_min_cell_20,1
40,100000,100000,alta_vs_media,alta,media,93339,6661,0.6389638153877903,0.665593561699835,-0.026629746312044622,0.9599909797143532,xgb_3class,global_three_level_common_support_min_cell_20,1
41,100000,100000,media_vs_baixa,media,baixa,93339,6661,0.6656206262466697,0.676069545275052,-0.010448919028382297,0.9845446092026949,xgb_3class,global_three_level_common_support_min_cell_20,1
41,100000,100000,alta_vs_baixa,alta,baixa,93339,6661,0.638969094040407,0.676069545275052,-0.037100451234645004,0.9451233212708153,xgb_3class,global_three_level_common_support_min_cell_20,1
