ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,3,2,PR,alta,5
2012,adulto,3,2,RJ,media,1
2012,adulto,3,2,RS,media,1
2012,adulto,3,2,RS,alta,1
2012,adulto,3,2,SP,baixa,2
2012,adulto,3,2,SP,media,21
2012,adulto,3,2,SP,alta,8
2012,adulto,4,1,AC,baixa,9
2012,adulto,4,1,AC,media,16
2012,adulto,4,1,AC,alta,6
2012,adulto,4,1,AL,baixa,460
2012,adulto,4,1,AL,media,158
2012,adulto,4,1,AL,alta,93
2012,adulto,4,1,AM,baixa,68
2012,adulto,4,1,AM,media,742
2012,adulto,4,1,AM,alta,306
2012,adulto,4,1,AP,baixa,4
2012,adulto,4,1,AP,media,40
2012,adulto,4,1,AP,alta,24
2012,adulto,4,1,BA,baixa,337
2012,adulto,4,1,BA,media,1183
2012,adulto,4,1,BA,alta,253
2012,adulto,4,1,CE,baixa,274
2012,adulto,4,1,CE,media,1177
2012,adulto,4,1,CE,alta,238
2012,adulto,4,1,DF,baixa,36
2012,adulto,4,1,DF,media,471
2012,adulto,4,1,DF,alta,131
2012,adulto,4,1,ES,baixa,77
2012,adulto,4,1,ES,media,371
2012,adulto,4,1,ES,alta,129
2012,adulto,4,1,GO,baixa,115
2012,adulto,4,1,GO,media,945
2012,adulto,4,1,GO,alta,307
2012,adulto,4,1,MA,baixa,242
2012,adulto,4,1,MA,media,889
2012,adulto,4,1,MA,alta,334
2012,adulto,4,1,MG,baixa,195
2012,adulto,4,1,MG,media,1423
2012,adulto,4,1,MG,alta,483
2012,adulto,4,1,MS,baixa,32
2012,adulto,4,1,MS,media,287
2012,adulto,4,1,MS,alta,128
2012,adulto,4,1,MT,baixa,50
2012,adulto,4,1,MT,media,559
2012,adulto,4,1,MT,alta,245
2012,adulto,4,1,PA,baixa,145
2012,adulto,4,1,PA,media,1304
2012,adulto,4,1,PA,alta,495
2012,adulto,4,1,PB,baixa,147
2012,adulto,4,1,PB,media,229
2012,adulto,4,1,PB,alta,52
2012,adulto,4,1,PE,baixa,323
2012,adulto,4,1,PE,media,1653
2012,adulto,4,1,PE,alta,450
2012,adulto,4,1,PI,baixa,144
2012,adulto,4,1,PI,media,551
2012,adulto,4,1,PI,alta,121
2012,adulto,4,1,PR,baixa,39
2012,adulto,4,1,PR,media,552
2012,adulto,4,1,PR,alta,191
2012,adulto,4,1,RJ,baixa,100
2012,adulto,4,1,RJ,media,1228
2012,adulto,4,1,RJ,alta,435
2012,adulto,4,1,RN,baixa,185
2012,adulto,4,1,RN,media,207
2012,adulto,4,1,RN,alta,38
2012,adulto,4,1,RO,baixa,13
2012,adulto,4,1,RO,media,85
2012,adulto,4,1,RO,alta,29
2012,adulto,4,1,RR,baixa,5
2012,adulto,4,1,RR,media,82
2012,adulto,4,1,RR,alta,27
