ano,idade_grupo,raca_cor,sexo,sigla_uf,baixa,media,contrast,level_a,level_b,pair_stratum_n,has_pair_common_support,min_pair_cell_n,alta
2021,idoso,3,2,CE,5.0,3.0,media_vs_baixa,baixa,media,8,False,3,
2021,idoso,3,2,DF,1.0,10.0,media_vs_baixa,baixa,media,11,False,1,
2021,idoso,3,2,ES,0.0,4.0,media_vs_baixa,baixa,media,4,False,0,
2021,idoso,3,2,GO,7.0,26.0,media_vs_baixa,baixa,media,33,False,7,
2021,idoso,3,2,MA,3.0,8.0,media_vs_baixa,baixa,media,11,False,3,
2021,idoso,3,2,MG,4.0,28.0,media_vs_baixa,baixa,media,32,False,4,
2021,idoso,3,2,MS,3.0,12.0,media_vs_baixa,baixa,media,15,False,3,
2021,idoso,3,2,MT,4.0,15.0,media_vs_baixa,baixa,media,19,False,4,
2021,idoso,3,2,PA,2.0,5.0,media_vs_baixa,baixa,media,7,False,2,
2021,idoso,3,2,PB,3.0,9.0,media_vs_baixa,baixa,media,12,False,3,
2021,idoso,3,2,PE,3.0,8.0,media_vs_baixa,baixa,media,11,False,3,
2021,idoso,3,2,PI,5.0,5.0,media_vs_baixa,baixa,media,10,False,5,
2021,idoso,3,2,PR,8.0,48.0,media_vs_baixa,baixa,media,56,False,8,
2021,idoso,3,2,RJ,5.0,31.0,media_vs_baixa,baixa,media,36,False,5,
2021,idoso,3,2,RN,4.0,2.0,media_vs_baixa,baixa,media,6,False,2,
2021,idoso,3,2,RO,1.0,4.0,media_vs_baixa,baixa,media,5,False,1,
2021,idoso,3,2,RR,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,3,2,RS,0.0,4.0,media_vs_baixa,baixa,media,4,False,0,
2021,idoso,3,2,SC,1.0,11.0,media_vs_baixa,baixa,media,12,False,1,
2021,idoso,3,2,SE,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,3,2,SP,11.0,298.0,media_vs_baixa,baixa,media,309,False,11,
2021,idoso,3,2,TO,2.0,3.0,media_vs_baixa,baixa,media,5,False,2,
2021,idoso,4,0,DF,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,4,0,PE,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,4,0,RJ,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,4,0,RS,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,4,1,AC,91.0,100.0,media_vs_baixa,baixa,media,191,True,91,
2021,idoso,4,1,AL,427.0,542.0,media_vs_baixa,baixa,media,969,True,427,
2021,idoso,4,1,AM,496.0,1329.0,media_vs_baixa,baixa,media,1825,True,496,
2021,idoso,4,1,AP,66.0,177.0,media_vs_baixa,baixa,media,243,True,66,
2021,idoso,4,1,BA,1436.0,3502.0,media_vs_baixa,baixa,media,4938,True,1436,
2021,idoso,4,1,CE,1933.0,3307.0,media_vs_baixa,baixa,media,5240,True,1933,
2021,idoso,4,1,DF,106.0,660.0,media_vs_baixa,baixa,media,766,True,106,
2021,idoso,4,1,ES,155.0,694.0,media_vs_baixa,baixa,media,849,True,155,
2021,idoso,4,1,GO,633.0,2262.0,media_vs_baixa,baixa,media,2895,True,633,
2021,idoso,4,1,MA,1193.0,1826.0,media_vs_baixa,baixa,media,3019,True,1193,
2021,idoso,4,1,MG,1171.0,5944.0,media_vs_baixa,baixa,media,7115,True,1171,
2021,idoso,4,1,MS,223.0,1017.0,media_vs_baixa,baixa,media,1240,True,223,
2021,idoso,4,1,MT,344.0,1061.0,media_vs_baixa,baixa,media,1405,True,344,
2021,idoso,4,1,PA,934.0,2539.0,media_vs_baixa,baixa,media,3473,True,934,
2021,idoso,4,1,PB,357.0,796.0,media_vs_baixa,baixa,media,1153,True,357,
2021,idoso,4,1,PE,1376.0,3550.0,media_vs_baixa,baixa,media,4926,True,1376,
2021,idoso,4,1,PI,631.0,911.0,media_vs_baixa,baixa,media,1542,True,631,
2021,idoso,4,1,PR,433.0,2011.0,media_vs_baixa,baixa,media,2444,True,433,
2021,idoso,4,1,RJ,499.0,4579.0,media_vs_baixa,baixa,media,5078,True,499,
2021,idoso,4,1,RN,403.0,609.0,media_vs_baixa,baixa,media,1012,True,403,
2021,idoso,4,1,RO,156.0,517.0,media_vs_baixa,baixa,media,673,True,156,
2021,idoso,4,1,RR,71.0,200.0,media_vs_baixa,baixa,media,271,True,71,
2021,idoso,4,1,RS,83.0,489.0,media_vs_baixa,baixa,media,572,True,83,
2021,idoso,4,1,SC,54.0,294.0,media_vs_baixa,baixa,media,348,True,54,
2021,idoso,4,1,SE,342.0,709.0,media_vs_baixa,baixa,media,1051,True,342,
2021,idoso,4,1,SP,1048.0,8476.0,media_vs_baixa,baixa,media,9524,True,1048,
2021,idoso,4,1,TO,266.0,509.0,media_vs_baixa,baixa,media,775,True,266,
2021,idoso,4,2,AC,86.0,100.0,media_vs_baixa,baixa,media,186,True,86,
2021,idoso,4,2,AL,399.0,375.0,media_vs_baixa,baixa,media,774,True,375,
2021,idoso,4,2,AM,392.0,1020.0,media_vs_baixa,baixa,media,1412,True,392,
2021,idoso,4,2,AP,56.0,119.0,media_vs_baixa,baixa,media,175,True,56,
2021,idoso,4,2,BA,1356.0,2381.0,media_vs_baixa,baixa,media,3737,True,1356,
2021,idoso,4,2,CE,1396.0,2663.0,media_vs_baixa,baixa,media,4059,True,1396,
2021,idoso,4,2,DF,145.0,516.0,media_vs_baixa,baixa,media,661,True,145,
